id,size,annualized,prop_dt,prop_large,prop_retail,prop_insider,share
001877,1.01,-23.85%,2017-06-30,1.80%,98.20%,0.02%,1.38
001878,77.45,31.05%,2017-06-30,46.07%,53.93%,0.06%,40.71
001879,0.31,--,-,-,-,-,-
001880,1.61,--,2017-06-30,0.83%,99.17%,0.00%,3.14
001881,1.13,11.62%,2017-06-30,93.02%,6.98%,2.25%,1.53
001882,0.67,15.81%,2017-06-30,68.58%,31.42%,1.33%,0.29
001883,0.05,-0.88%,2017-06-30,2.88%,97.12%,18.02%,0.03
001884,0.01,14.80%,2017-06-30,14.35%,85.65%,0.00%,0.01
001885,0.21,10.72%,2017-06-30,---,100.00%,3.45%,0.13
001886,0.52,31.58%,2017-06-30,3.76%,96.24%,3.39%,0.04
001887,0.38,-13.44%,2017-06-30,91.51%,8.49%,0.07%,0.27
001888,0.07,14.11%,2017-06-30,---,100.00%,2.89%,0.09
001889,0.01,3.14%,2017-06-30,---,100.00%,0.48%,0.03
001890,0.26,10.42%,2017-06-30,3.09%,96.91%,25.65%,0.05
001891,0.02,13.04%,2017-06-30,99.69%,0.31%,0.01%,1.59
001892,4.05,22.76%,2017-06-30,21.61%,78.39%,0.24%,5.04
001893,238.09,4.07%,2017-06-30,100.00%,0.00%,0.00%,105.88
001894,2.40,3.72%,2017-06-30,0.47%,99.53%,0.74%,0.41
001895,8.42,3.97%,2017-06-30,99.34%,0.66%,0.00%,12.25
001896,0.91,3.22%,2017-06-30,54.38%,45.62%,0.00%,1.94
001897,6.50,0.48%,2017-06-30,9.24%,90.76%,0.10%,3.90
001898,15.02,--,-,-,-,-,-
001899,0.69,-9.37%,2017-06-30,3.08%,96.92%,0.58%,0.97
001901,4.36,--,2017-06-30,100.00%,0.00%,0.00%,8.00
001902,0.00,--,2017-06-30,0.00%,100.00%,14.34%,0.00
001903,1.27,5.39%,2017-06-30,72.91%,27.09%,0.00%,0.90
001904,0.85,5.02%,2017-06-30,99.46%,0.54%,0.01%,2.15
001905,27.29,2.39%,2017-06-30,30.61%,69.39%,0.00%,32.80
001906,0.61,1.80%,2017-06-30,99.76%,0.24%,0.00%,0.60
001907,0.40,2.73%,2017-06-30,35.85%,64.15%,0.04%,4.46
001908,2.45,2.14%,2017-06-30,---,100.00%,0.00%,19.18
001909,6.64,3.68%,2017-06-30,73.00%,27.00%,0.04%,0.73
001910,24.47,11.48%,2017-06-30,91.68%,8.32%,0.05%,17.14
001911,25.10,3.79%,2017-06-30,99.99%,0.01%,0.00%,24.76
001912,1.09,1.06%,2017-06-30,98.59%,1.41%,0.14%,7.23
001914,1.12,1.94%,2017-06-30,23.47%,76.53%,0.01%,12.52
001915,3.36,1.83%,2017-06-30,0.64%,99.36%,0.02%,3.12
001916,25.79,3.88%,2017-06-30,2.45%,97.55%,0.15%,10.80
001917,0.76,-8.10%,2017-06-30,62.65%,37.35%,1.07%,1.81
001918,17.98,2.12%,2017-06-30,99.47%,0.53%,0.00%,17.98
001919,0.00,1.82%,2017-06-30,---,100.00%,0.29%,0.00
001920,5.26,4.59%,2017-06-30,99.75%,0.25%,0.00%,2.94
001921,0.00,4.32%,2017-06-30,---,100.00%,21.54%,0.00
001922,8.54,1.99%,2017-06-30,1.03%,98.97%,0.01%,14.74
001923,4.98,9.09%,2017-06-30,99.72%,0.28%,0.01%,4.51
001924,11.12,0.79%,2017-06-30,0.38%,99.62%,0.05%,15.19
001925,0.05,3.78%,2017-06-30,---,100.00%,19.11%,0.00
001926,202.13,4.03%,2017-06-30,100.00%,---,0.00%,131.98
001927,6.18,33.02%,2017-06-30,21.78%,78.22%,0.40%,1.59
001928,1.60,32.35%,2017-06-30,1.39%,98.61%,0.01%,0.65
001929,1.31,4.01%,2017-06-30,22.22%,77.78%,3.31%,1.77
001930,35.97,4.27%,2017-06-30,98.25%,1.75%,0.00%,25.84
001931,35.97,3.94%,2017-06-30,75.33%,24.67%,0.00%,8.20
001932,2.13,2.27%,2017-06-30,69.72%,30.28%,0.01%,3.39
001933,1.04,1.00%,2017-06-30,18.34%,81.66%,0.00%,0.55
001934,0.77,1.49%,2017-06-30,---,100.00%,0.13%,0.16
001935,0.77,1.49%,2017-06-30,---,100.00%,0.13%,0.16
001936,0.21,-7.12%,2017-06-30,---,100.00%,0.00%,0.30
001937,19.59,3.88%,2017-06-30,99.99%,0.01%,0.00%,42.35
001938,24.46,19.10%,2017-06-30,1.64%,98.36%,1.85%,5.22
001939,5.55,8.95%,2017-06-30,99.12%,0.88%,0.00%,4.26
001940,1.15,18.50%,2017-06-30,0.71%,99.29%,0.00%,1.40
001941,1.12,2.99%,2017-06-30,100.00%,---,0.00%,1.26
001942,0.00,-0.70%,2017-06-30,0.00%,100.00%,0.22%,0.00
001943,0.29,-0.88%,2017-06-30,98.82%,1.18%,0.00%,1.56
001945,1.33,3.40%,2017-06-30,22.75%,77.25%,0.00%,1.73
001946,0.42,2.92%,2017-06-30,33.55%,66.45%,0.38%,1.47
001947,1.52,5.23%,2017-06-30,14.94%,85.06%,0.00%,3.35
001948,1.19,4.16%,2017-06-30,0.00%,100.00%,0.00%,1.83
001949,0.41,3.68%,2017-06-30,1.37%,98.63%,0.00%,0.73
001950,0.04,0.97%,2017-06-30,0.00%,100.00%,0.00%,0.40
001951,2.14,4.57%,2017-06-30,62.53%,37.47%,0.01%,2.19
001952,0.00,10.55%,2017-06-30,99.96%,0.04%,0.00%,4.58
001953,0.00,-0.20%,2017-06-30,---,100.00%,0.46%,0.01
001954,0.57,-7.93%,2017-06-30,20.83%,79.17%,0.03%,0.71
001955,0.79,4.72%,2017-06-30,62.51%,37.49%,0.54%,2.00
001956,1.39,17.27%,2017-06-30,0.00%,100.00%,0.00%,0.53
001957,0.12,--,-,-,-,-,-
001958,2.48,--,-,-,-,-,-
001959,2.08,-17.93%,2017-06-30,7.25%,92.75%,0.20%,2.92
001960,45.50,1.18%,2017-06-30,100.00%,0.00%,0.00%,44.75
001961,5.83,3.36%,2017-06-30,99.93%,0.07%,0.00%,5.60
001963,1.81,2.14%,2017-06-30,79.22%,20.78%,0.04%,2.84
001964,0.00,0.95%,2017-06-30,---,100.00%,0.04%,0.02
001965,6.79,--,-,-,-,-,-
001966,0.75,--,-,-,-,-,-
001967,0.93,7.55%,2017-06-30,0.13%,99.87%,0.11%,1.95
001968,49.54,--,-,-,-,-,-
001969,0.10,--,-,-,-,-,-
001970,0.35,-10.18%,2017-06-30,---,100.00%,0.11%,0.28
001971,0.46,1.97%,2017-06-30,---,100.00%,0.01%,0.94
001972,1.41,11.70%,2017-06-30,86.13%,13.87%,0.00%,0.77
001973,5.01,3.90%,2017-06-30,1.32%,98.68%,0.30%,3.17
001974,5.57,26.87%,2017-06-30,42.32%,57.68%,0.25%,3.22
001975,5.70,24.96%,2017-06-30,15.11%,84.89%,0.04%,1.80
001976,0.00,2.05%,2017-06-30,0.00%,100.00%,0.00%,0.00
001978,0.52,-2.26%,2017-06-30,14.95%,85.05%,0.05%,0.58
001979,3.19,-6.57%,2017-06-30,44.28%,55.72%,0.13%,4.17
001981,0.63,3.82%,2017-06-30,8.11%,91.89%,0.00%,0.69
001982,84.01,4.07%,2017-06-30,92.56%,7.44%,0.00%,8.78
001983,2.10,-21.00%,2017-06-30,1.70%,98.30%,0.02%,3.66
001984,0.25,11.21%,2017-06-30,---,100.00%,0.00%,0.61
001985,5.78,18.60%,2017-06-30,9.33%,90.67%,0.07%,4.08
001986,15.17,16.62%,2017-06-30,6.81%,93.19%,0.02%,1.10
001987,7.69,4.14%,2017-06-30,56.39%,43.61%,0.28%,5.36
001988,11.06,--,-,-,-,-,-
001989,0.00,--,-,-,-,-,-
001990,1.34,-5.65%,2017-06-30,50.40%,49.60%,0.07%,3.17
001991,3.82,3.69%,2017-06-30,1.66%,98.34%,0.00%,1.74
001992,6.99,3.94%,2017-06-30,90.43%,9.57%,0.00%,2.39
001993,9.95,3.41%,2017-06-30,99.96%,0.04%,0.00%,9.95
001994,1.69,2.72%,2017-06-30,0.00%,100.00%,0.00%,1.63
001997,1.10,19.31%,2017-06-30,99.75%,0.25%,0.00%,0.96
001998,0.39,4.00%,2017-06-30,0.00%,100.00%,0.11%,1.18
001999,2.38,0.92%,2017-06-30,---,100.00%,1.28%,2.42
002000,5.32,4.55%,2017-06-30,99.99%,0.01%,0.01%,5.00
002001,109.81,28.92%,2017-06-30,0.53%,99.47%,0.07%,63.18
002003,0.67,--,2017-06-30,1.10%,98.90%,0.00%,1.44
002004,0.64,--,2017-06-30,1.78%,98.22%,0.00%,3.12
002005,4.55,--,2017-06-30,61.84%,38.16%,0.00%,4.85
002006,4.60,11.47%,2017-06-30,86.60%,13.40%,0.02%,6.23
002007,9.91,7.68%,2017-06-30,91.50%,8.50%,0.00%,8.74
002008,32.06,2.49%,2017-06-30,100.00%,0.00%,0.00%,30.95
002009,7.42,5.43%,2017-06-30,100.00%,0.00%,0.00%,6.85
002010,0.00,4.84%,2017-06-30,---,100.00%,51.73%,0.00
002011,96.78,-4.46%,2017-06-30,0.50%,99.50%,0.01%,45.15
002013,12.58,4.28%,2017-06-30,100.00%,0.00%,0.00%,11.38
002014,0.00,3.77%,2017-06-30,---,100.00%,4.65%,0.00
002015,5.58,7.07%,2017-06-30,99.69%,0.31%,0.00%,5.20
002016,0.00,7.49%,2016-12-31,100.00%,---,0.00%,7.88
002017,8.21,5.68%,2017-06-30,97.96%,2.04%,0.00%,5.95
002018,8.62,5.08%,2017-06-30,99.13%,0.87%,0.00%,8.19
002019,0.01,4.61%,2017-06-30,99.67%,0.33%,0.00%,3.96
002020,0.53,0.68%,2017-06-30,0.00%,100.00%,0.00%,0.74
002021,54.46,29.03%,2017-06-30,0.71%,99.29%,0.01%,39.04
002023,0.00,--,2017-06-30,0.00%,100.00%,2.11%,0.00
002024,1.06,--,2017-06-30,99.52%,0.48%,0.08%,1.70
002025,3.19,6.90%,2017-06-30,99.87%,0.13%,0.00%,4.80
002026,1.00,7.80%,2017-06-30,0.00%,100.00%,16.51%,0.00
002027,19.76,1.90%,2017-06-30,99.51%,0.49%,0.01%,22.51
002028,1.88,16.39%,2017-06-30,100.00%,0.00%,0.00%,1.33
002029,0.01,16.11%,2017-06-30,99.90%,0.10%,0.01%,0.10
002030,0.37,7.73%,2017-06-30,99.87%,0.13%,0.13%,3.76
002031,8.63,6.22%,2017-06-30,15.68%,84.32%,0.12%,3.16
002035,4.49,5.43%,2017-06-30,99.98%,0.02%,0.02%,4.45
002036,0.04,30.97%,2017-06-30,---,100.00%,0.00%,0.00
002039,3.82,5.51%,2017-06-30,99.82%,0.18%,0.16%,3.39
002040,0.00,4.92%,2017-06-30,---,100.00%,9.54%,0.00
002041,2.38,16.17%,2017-06-30,99.86%,0.14%,0.02%,2.87
002042,0.00,15.45%,2017-06-30,---,100.00%,0.02%,0.01
002043,0.00,12.20%,2017-06-30,0.00%,100.00%,0.54%,0.00
002046,0.22,0.19%,2017-06-30,---,100.00%,100.00%,0.00
002047,1.26,5.05%,2017-06-30,100.00%,---,0.00%,5.87
002048,2.42,-2.60%,2017-06-30,17.52%,82.48%,0.00%,2.85
002049,10.32,4.85%,2017-06-30,99.99%,0.01%,0.00%,12.59
002051,7.28,2.58%,2017-06-30,100.00%,0.00%,0.00%,7.15
002052,9.30,3.08%,2017-06-30,100.00%,---,0.00%,9.45
002053,0.00,2.01%,2017-06-30,0.00%,100.00%,0.00%,0.00
002054,0.23,5.99%,2017-06-30,99.12%,0.88%,0.00%,5.29
002055,0.00,10.09%,2017-06-30,99.91%,0.09%,0.00%,2.82
002056,1.49,5.60%,2017-06-30,88.06%,11.94%,0.00%,1.53
002057,6.93,7.92%,2017-06-30,98.09%,1.91%,0.00%,6.87
002058,0.40,7.84%,2017-06-30,55.97%,44.03%,0.00%,0.96
002059,0.75,11.97%,2017-06-30,65.91%,34.09%,0.01%,1.33
002060,0.00,-1.73%,2017-06-30,---,100.00%,0.00%,0.00
002061,3.09,9.89%,2017-06-30,99.46%,0.54%,0.00%,1.23
002062,0.00,14.82%,2017-06-30,100.00%,0.00%,0.00%,0.10
002063,0.28,16.74%,2017-06-30,99.83%,0.17%,0.00%,0.12
002064,0.44,--,-,-,-,-,-
002065,0.39,4.02%,2017-06-30,---,100.00%,0.00%,0.74
002066,0.19,3.64%,2017-06-30,---,100.00%,0.00%,0.32
002067,1.44,5.73%,2017-06-30,99.68%,0.32%,0.00%,1.39
002068,0.00,51.14%,2017-06-30,---,100.00%,0.00%,0.01
002069,0.12,--,2017-06-30,100.00%,0.00%,0.00%,2.00
002070,0.00,--,2017-06-30,---,100.00%,0.00%,0.00
002071,1.34,23.27%,2017-06-30,99.31%,0.69%,0.01%,1.39
002072,0.20,45.67%,2017-06-30,27.32%,72.68%,0.45%,0.17
002073,24.63,2.82%,2017-06-30,99.99%,0.01%,0.00%,24.60
002074,0.00,2.41%,2017-06-30,---,100.00%,2.55%,0.00
002075,0.87,8.86%,2017-06-30,99.84%,0.16%,0.01%,0.50
002076,0.54,-4.35%,2017-06-30,99.38%,0.62%,0.03%,0.50
002077,0.39,3.68%,2017-06-30,17.98%,82.02%,0.00%,0.41
002078,1.62,3.93%,2017-06-30,98.04%,1.96%,0.00%,2.61
002079,0.07,-25.98%,2017-06-30,0.00%,100.00%,0.11%,0.09
002080,0.04,-27.23%,2017-06-30,0.00%,100.00%,0.00%,0.03
002081,7.44,4.23%,2017-06-30,99.04%,0.96%,0.00%,6.93
002082,0.01,12.24%,2017-06-30,---,100.00%,0.00%,0.01
002083,0.23,-5.98%,2017-06-30,0.00%,100.00%,0.00%,0.53
002084,0.07,-6.18%,2017-06-30,0.66%,99.34%,0.00%,0.15
002085,1.04,22.61%,2017-06-30,0.00%,100.00%,0.01%,1.54
002086,1.85,5.55%,2017-06-30,---,100.00%,0.00%,1.75
002087,5.11,3.96%,2017-06-30,99.93%,0.07%,0.00%,5.47
002088,0.00,3.97%,2017-06-30,---,100.00%,0.98%,0.00
002089,4.33,5.79%,2017-06-30,99.99%,0.01%,0.00%,4.49
002090,0.01,5.59%,2017-06-30,---,100.00%,0.60%,0.00
002091,0.00,6.72%,2017-06-30,---,100.00%,0.00%,0.00
002092,0.09,7.55%,2017-06-30,97.09%,2.91%,0.05%,0.08
002093,1.45,7.19%,2017-06-30,99.86%,0.14%,0.00%,1.67
002094,0.00,12.95%,2017-06-30,---,100.00%,0.00%,0.00
002095,3.42,7.08%,2017-06-30,99.95%,0.05%,0.00%,4.97
002096,0.00,6.98%,2017-06-30,---,100.00%,42.92%,0.00
002097,2.04,11.00%,2017-06-30,99.88%,0.12%,0.00%,1.90
002098,0.01,11.04%,2017-06-30,---,100.00%,0.44%,0.00
002099,0.01,5.35%,2017-06-30,99.70%,0.30%,0.00%,2.48
002100,1.40,5.04%,2017-06-30,99.40%,0.60%,0.00%,1.73
002101,0.00,4.13%,2017-06-30,---,100.00%,0.16%,0.02
002102,0.05,-2.29%,2017-06-30,99.06%,0.94%,0.13%,0.10
002103,0.51,4.16%,2017-06-30,0.00%,100.00%,1.56%,0.64
002104,5.88,3.40%,2017-06-30,99.91%,0.09%,0.01%,5.84
002105,0.00,1.86%,2017-06-30,---,100.00%,26.90%,0.00
002106,2.10,8.03%,2017-06-30,99.93%,0.07%,0.00%,2.27
002109,28.49,2.29%,2017-06-30,100.00%,0.00%,0.00%,7.96
002110,2.48,7.00%,2017-06-30,99.72%,0.28%,0.03%,2.22
002111,6.68,6.20%,2017-06-30,99.99%,0.01%,0.00%,7.58
002112,5.38,8.99%,2017-06-30,99.99%,0.01%,0.00%,5.41
002114,0.00,12.00%,2017-06-30,---,100.00%,0.42%,0.00
002115,2.43,11.45%,2017-06-30,99.98%,0.02%,0.00%,3.91
002116,3.01,8.19%,2017-06-30,99.91%,0.09%,0.00%,2.30
002117,3.35,7.75%,2017-06-30,99.21%,0.79%,0.00%,1.97
002118,2.10,5.57%,2017-06-30,99.98%,0.02%,0.00%,2.00
002119,0.00,6.18%,2017-06-30,0.00%,100.00%,2.41%,0.00
002120,7.31,8.23%,2017-06-30,100.00%,0.00%,0.00%,7.00
002121,21.29,30.92%,2017-06-30,96.38%,3.62%,0.00%,7.77
002123,0.30,-8.04%,2017-06-30,78.56%,21.44%,0.02%,0.32
002124,1.80,17.44%,2017-06-30,23.04%,76.96%,2.68%,1.24
002125,4.66,--,-,-,-,-,-
002128,15.01,2.61%,2017-06-30,100.00%,0.00%,0.00%,14.97
002129,7.05,11.80%,2017-06-30,99.99%,0.01%,0.00%,6.27
002130,3.80,23.76%,2017-06-30,100.00%,0.00%,0.00%,6.99
002131,0.04,25.57%,2017-06-30,0.00%,100.00%,100.00%,0.00
002132,3.26,3.11%,2017-06-30,99.94%,0.06%,0.00%,3.00
002133,45.15,4.94%,2017-06-30,99.89%,0.11%,0.00%,37.39
002134,5.06,9.49%,2017-06-30,99.96%,0.04%,0.00%,4.14
002135,2.03,5.28%,2017-06-30,100.00%,0.00%,0.00%,6.70
002136,0.03,9.51%,2017-06-30,0.00%,100.00%,100.00%,0.00
002137,3.55,1.29%,2017-06-30,4.24%,95.76%,0.00%,38.41
002138,30.28,5.05%,2017-06-30,99.92%,0.08%,0.00%,27.02
002139,2.49,4.73%,2017-06-30,---,100.00%,4.52%,0.00
002140,10.18,1.98%,2017-06-30,99.92%,0.08%,0.00%,9.95
002141,17.99,4.54%,2017-06-30,99.98%,0.02%,0.00%,16.25
002142,2.02,23.08%,2017-06-30,91.78%,8.22%,0.25%,1.70
002143,5.16,1.24%,2017-06-30,99.99%,0.01%,0.00%,5.10
002144,0.00,0.19%,2017-06-30,99.98%,0.02%,0.00%,0.98
002145,3.14,-0.29%,2017-06-30,29.85%,70.15%,0.01%,33.80
002146,0.54,5.61%,2017-06-30,0.71%,99.29%,0.00%,0.70
002147,0.00,5.26%,2017-06-30,99.47%,0.53%,0.04%,2.01
002148,1.43,8.68%,2017-06-30,99.91%,0.09%,0.00%,3.73
002149,7.61,7.30%,2017-06-30,98.60%,1.40%,0.00%,7.04
002152,0.84,7.14%,2017-06-30,0.14%,99.86%,0.15%,1.41
002155,0.10,--,-,-,-,-,-
002156,0.02,4.23%,2017-06-30,0.00%,100.00%,0.00%,0.08
002157,2.88,3.95%,2017-06-30,99.45%,0.55%,0.00%,5.58
002158,1.18,5.46%,2017-06-30,99.79%,0.21%,0.00%,1.12
002159,0.31,-12.63%,2017-06-30,58.78%,41.22%,0.02%,1.23
002160,2.00,24.78%,2017-06-30,27.62%,72.38%,1.29%,1.58
002161,0.99,--,-,-,-,-,-
002162,0.00,10.88%,2017-06-30,---,100.00%,0.00%,0.00
002163,0.01,106.73%,2017-06-30,---,100.00%,0.00%,0.00
002164,0.82,8.57%,2017-06-30,0.55%,99.45%,0.00%,0.18
002165,0.60,5.97%,2017-06-30,0.00%,100.00%,0.15%,0.58
002166,9.31,--,2015-12-31,100.00%,---,0.00%,9.14
002167,3.14,-1.95%,2017-06-30,25.62%,74.38%,0.08%,21.07
002168,2.59,4.92%,2017-06-30,19.67%,80.33%,0.16%,2.16
002169,15.51,2.92%,2017-06-30,99.99%,0.01%,0.00%,30.90
002170,0.00,2.56%,2017-06-30,0.00%,100.00%,100.00%,0.00
002172,0.00,5.31%,2017-06-30,---,100.00%,78.36%,0.00
002173,0.14,1.95%,2017-06-30,3.05%,96.95%,0.00%,0.16
002174,0.28,-25.94%,2017-06-30,---,100.00%,0.00%,0.40
002175,0.00,1.84%,2017-06-30,---,100.00%,28.83%,0.00
002177,2.16,--,-,-,-,-,-
002178,0.00,10.49%,2017-06-30,---,100.00%,0.00%,0.00
002179,1.15,-9.82%,2017-06-30,0.48%,99.52%,0.00%,2.26
002180,1.40,--,-,-,-,-,-
002181,3.61,--,-,-,-,-,-
002182,0.91,1.99%,2017-06-30,3.80%,96.20%,0.87%,1.47
002183,16.00,4.05%,2017-06-30,100.00%,0.00%,0.00%,11.81
002184,0.36,3.76%,2017-06-30,51.70%,48.30%,6.67%,0.18
002185,3.08,4.01%,2017-06-30,100.00%,---,0.00%,5.84
002186,1.27,7.99%,2017-06-30,---,100.00%,0.00%,0.06
002187,0.00,-7.14%,2017-06-30,---,100.00%,0.00%,0.01
002188,0.51,2.08%,2017-06-30,99.62%,0.38%,0.19%,0.50
002189,1.33,30.93%,2017-06-30,0.00%,100.00%,0.16%,0.73
002190,1.04,9.53%,2017-06-30,0.23%,99.77%,0.01%,1.41
002191,0.59,18.31%,2017-06-30,1.04%,98.96%,0.05%,0.95
002192,0.00,13.00%,2017-06-30,---,100.00%,0.00%,0.00
002193,2.66,0.59%,2017-06-30,100.00%,0.00%,0.00%,4.01
002194,0.33,1.47%,2017-06-30,---,100.00%,0.04%,0.52
002195,151.54,4.21%,2017-06-30,98.42%,1.58%,0.01%,183.53
002196,0.29,-17.08%,2017-06-30,---,100.00%,0.00%,0.01
002197,9.50,2.38%,2017-06-30,38.30%,61.70%,0.00%,13.61
002198,15.02,2.38%,2017-06-30,100.00%,0.00%,0.00%,19.96
002199,1.43,-31.64%,2017-06-30,3.89%,96.11%,0.00%,1.50
002200,0.16,4.20%,2017-06-30,23.74%,76.26%,7.19%,0.18
002201,49.91,4.45%,2017-06-30,100.00%,0.00%,0.00%,51.21
002202,0.07,4.20%,2017-06-30,---,100.00%,23.14%,0.01
002203,2.11,--,-,-,-,-,-
002204,2.12,--,-,-,-,-,-
002206,10.05,0.80%,2017-06-30,99.97%,0.03%,0.00%,10.08
002207,1.12,-22.63%,2017-06-30,93.06%,6.94%,0.01%,7.89
002208,6.26,3.26%,2017-06-30,28.63%,71.37%,0.00%,7.47
002209,8.77,3.17%,2017-06-30,---,100.00%,0.00%,12.31
002210,10.98,-14.00%,2017-06-30,8.38%,91.62%,0.16%,14.63
002211,7.59,7.45%,2017-06-30,99.99%,0.01%,0.00%,6.93
002212,7.60,7.75%,2017-06-30,100.00%,0.00%,0.00%,6.93
002213,7.84,-0.06%,2017-06-30,4.31%,95.69%,0.01%,9.28
002214,7.74,30.69%,2017-06-30,82.16%,17.84%,0.22%,1.67
002216,1.93,--,-,-,-,-,-
002217,2.29,--,-,-,-,-,-
002218,7.62,1.51%,2017-06-30,99.97%,0.03%,0.00%,15.11
002219,0.00,1.51%,-,-,-,-,-
002220,3.53,4.82%,2017-06-30,26.41%,73.59%,0.04%,11.94
002221,1.11,7.15%,2017-06-30,99.97%,0.03%,0.00%,6.90
002222,2.09,10.18%,2017-06-30,68.09%,31.91%,0.08%,4.17
002223,1.10,-17.53%,2017-06-30,3.49%,96.51%,3.01%,5.04
002224,2.43,-5.15%,2017-06-30,2.17%,97.83%,0.11%,4.60
002225,0.00,5.12%,2017-06-30,---,100.00%,0.00%,0.01
002226,0.62,4.42%,2017-06-30,---,100.00%,0.00%,2.08
002227,6.13,9.13%,2017-06-30,99.97%,0.03%,0.00%,5.46
002228,0.01,8.65%,2017-06-30,---,100.00%,0.09%,0.02
002229,1.95,11.71%,2017-06-30,---,100.00%,0.50%,1.52
002230,3.19,-4.44%,2017-06-30,0.85%,99.15%,0.93%,3.51
002231,2.06,8.26%,2017-06-30,---,100.00%,8.75%,0.03
002232,0.11,7.77%,2017-06-30,100.00%,---,0.00%,2.06
002233,2.71,8.91%,2017-06-30,99.95%,0.05%,0.00%,2.48
002234,9.29,3.99%,2017-06-30,96.22%,3.78%,0.00%,11.24
002235,0.00,3.71%,2017-06-30,---,100.00%,93.34%,0.00
002236,0.84,-21.51%,2017-06-30,6.53%,93.47%,0.50%,1.27
002237,0.00,4.23%,-,-,-,-,-
002240,0.03,3.96%,2017-06-30,0.00%,100.00%,5.08%,0.04
002241,3.99,4.21%,2017-06-30,100.00%,---,0.00%,4.27
002242,10.32,-3.40%,2017-06-30,81.20%,18.80%,0.00%,13.55
002243,2.07,3.76%,2017-06-30,86.56%,13.44%,0.01%,1.40
002244,1.69,-10.22%,2017-06-30,18.36%,81.64%,0.00%,2.62
002245,1.49,2.40%,2017-06-30,89.27%,10.73%,0.00%,1.69
002246,0.00,8.36%,2017-06-30,0.00%,100.00%,0.00%,0.00
002247,0.50,4.09%,2017-06-30,39.29%,60.71%,5.60%,0.30
002248,161.38,4.35%,2017-06-30,100.00%,---,0.00%,28.77
002249,5.46,-4.45%,2017-06-30,6.28%,93.72%,0.02%,35.16
002250,0.22,-17.56%,2017-06-30,37.02%,62.98%,0.02%,0.27
002251,1.92,-25.82%,2017-06-30,11.93%,88.07%,0.06%,2.26
002252,2.13,5.76%,2017-06-30,11.73%,88.27%,0.10%,4.26
002254,2.10,1.84%,2017-06-30,71.45%,28.55%,0.05%,2.10
002255,0.29,1.43%,2017-06-30,0.00%,100.00%,0.00%,0.29
002256,0.30,-10.26%,2017-06-30,98.93%,1.07%,0.00%,0.30
002258,4.85,--,-,-,-,-,-
002259,2.81,12.23%,2017-06-30,56.70%,43.30%,0.00%,1.61
002260,43.33,3.78%,2017-06-30,42.96%,57.04%,0.07%,29.42
002261,7.48,8.33%,2017-06-30,99.78%,0.22%,0.00%,7.48
002262,0.25,8.24%,2017-06-30,96.83%,3.17%,0.16%,0.32
002263,1.09,-2.83%,2017-06-30,6.79%,93.21%,0.72%,1.56
002264,2.48,2.38%,2017-06-30,39.87%,60.13%,0.03%,5.99
002265,4.99,3.08%,2017-06-30,99.98%,0.02%,0.00%,4.97
002268,50.09,0.70%,2017-06-30,100.00%,0.00%,0.00%,49.81
002269,0.61,-5.54%,2017-06-30,10.74%,89.26%,0.02%,0.93
002270,1.19,-11.69%,2017-06-30,98.48%,1.52%,0.02%,3.46
002271,17.57,3.83%,2017-06-30,14.58%,85.42%,0.00%,20.66
002272,0.52,-2.22%,2017-06-30,50.93%,49.07%,0.00%,2.13
002273,0.00,7.88%,2017-06-30,100.00%,0.00%,0.00%,0.96
002274,0.52,7.27%,2017-06-30,97.95%,2.05%,0.00%,0.49
002275,0.02,2.43%,2017-06-30,94.39%,5.61%,0.00%,0.54
002276,1.15,--,2017-06-30,99.85%,0.15%,0.00%,1.30
002277,0.00,--,2017-06-30,---,100.00%,0.00%,0.00
002278,3.49,--,2017-06-30,99.95%,0.05%,0.00%,3.90
002279,0.97,-0.96%,2017-06-30,99.74%,0.26%,0.00%,0.94
002280,8.23,2.49%,2017-06-30,0.12%,99.88%,0.14%,8.93
002281,34.78,-0.59%,2017-06-30,43.38%,56.62%,0.00%,41.67
002282,3.82,0.99%,2017-06-30,0.74%,99.26%,0.00%,4.71
002283,0.15,1.50%,2017-06-30,0.00%,100.00%,0.00%,0.27
002284,0.04,1.70%,2017-06-30,12.80%,87.20%,0.00%,0.16
002285,0.00,1.00%,2017-06-30,0.00%,100.00%,0.10%,0.00
002286,5.69,-6.75%,2017-06-30,0.00%,100.00%,0.02%,7.00
002287,5.69,1.82%,2017-06-30,0.00%,100.00%,0.00%,7.00
002288,20.12,3.84%,2017-06-30,4.49%,95.51%,0.00%,26.76
002290,0.00,4.23%,-,-,-,-,-
002291,36.67,2.21%,2017-06-30,24.96%,75.04%,0.00%,40.42
002292,25.46,3.21%,2017-06-30,57.48%,42.52%,0.01%,33.90
002293,25.47,4.66%,2017-06-30,42.04%,57.96%,0.03%,25.49
002294,0.00,3.06%,2017-06-30,---,100.00%,0.11%,0.00
002295,22.75,5.03%,2017-06-30,14.72%,85.28%,0.04%,24.30
002296,19.17,3.92%,2017-06-30,0.02%,99.98%,0.00%,21.19
002297,0.01,18.96%,2017-06-30,---,100.00%,0.00%,0.00
002298,0.04,--,-,-,-,-,-
002299,39.20,--,-,-,-,-,-
002300,0.76,2.12%,2017-06-30,0.00%,100.00%,0.00%,0.54
002301,12.62,4.84%,2017-06-30,99.96%,0.04%,0.00%,11.47
002302,15.96,4.13%,2017-06-30,96.21%,3.79%,0.00%,21.16
