id,size,annualized,prop_dt,prop_large,prop_retail,prop_insider,share
000434,6.16,3.91%,2017-06-30,1.33%,98.67%,0.44%,3.65
000435,0.56,1.35%,2017-06-30,21.04%,78.96%,0.00%,0.56
000436,32.63,4.59%,2017-06-30,98.99%,1.01%,0.02%,19.89
000437,5.71,0.20%,2017-06-30,78.78%,21.22%,0.00%,12.52
000438,0.07,0.00%,2017-06-30,70.45%,29.55%,0.03%,0.84
000439,0.99,3.50%,2017-06-30,77.99%,22.01%,0.02%,2.65
000452,5.13,5.94%,2017-06-30,8.19%,91.81%,0.08%,4.06
000457,84.43,28.99%,2017-06-30,64.15%,35.85%,0.03%,19.87
000458,1.92,16.50%,2017-06-30,53.89%,46.11%,0.01%,2.45
000462,7.30,35.81%,2017-06-30,0.05%,99.95%,0.01%,5.13
000463,21.20,1.00%,2017-06-30,93.42%,6.58%,0.00%,34.38
000464,93.80,4.07%,2017-06-30,12.81%,87.19%,0.32%,90.09
000465,2.13,2.71%,2017-06-30,31.58%,68.42%,0.00%,3.05
000466,2.17,4.27%,2017-06-30,99.14%,0.86%,0.00%,2.02
000467,0.51,-0.88%,2017-06-30,99.69%,0.31%,0.07%,0.48
000469,14.52,3.31%,2017-06-30,22.54%,77.46%,0.00%,60.28
000471,17.38,-20.44%,2017-06-30,24.92%,75.08%,0.51%,15.96
000473,2.23,3.65%,2017-06-30,98.07%,1.93%,0.05%,1.94
000474,0.04,3.40%,2017-06-30,0.00%,100.00%,0.00%,0.04
000475,6.08,4.10%,2017-06-30,4.48%,95.52%,0.47%,6.81
000476,24.18,4.35%,2017-06-30,97.65%,2.35%,0.00%,49.37
000477,19.43,7.61%,2017-06-30,30.54%,69.46%,0.19%,12.19
000478,19.61,-5.38%,2017-06-30,19.27%,80.73%,0.40%,5.59
000479,0.01,-1.18%,2017-06-30,---,100.00%,8.17%,0.00
000480,44.92,17.29%,2017-06-30,3.92%,96.08%,0.09%,16.42
000481,7.98,0.55%,2017-06-30,86.92%,13.08%,0.00%,10.69
000483,6.22,3.79%,2017-06-30,4.36%,95.64%,0.67%,6.73
000484,128.96,4.04%,2017-06-30,99.94%,0.06%,0.00%,167.51
000485,4.10,1.71%,2017-06-30,9.39%,90.61%,0.00%,24.24
